req_id,pos_fn_id,neg_fn_id
CS1000,CS_NoopCmd,CS_BackgroundEeprom
CS1000,CS_NoopCmd,CS_HandleTableUpdate
CS1001,CS_ResetCmd,CS_BackgroundOS
CS1001,CS_ResetCmd,CS_BackgroundCfeCore
CS1002,CS_VerifyCmdLength,CS_ProcessCmd
CS1002,CS_VerifyCmdLength,CS_AppInit
CS1002,CS_NoopCmd,CS_ProcessCmd
CS1002,CS_NoopCmd,CS_AppInit
CS1002,CS_ResetCmd,CS_ProcessCmd
CS1002,CS_ResetCmd,CS_AppInit
CS1002,CS_OneShotCmd,CS_ProcessCmd
CS1002,CS_OneShotCmd,CS_AppInit
CS1002,CS_CancelOneShotCmd,CS_ProcessCmd
CS1002,CS_CancelOneShotCmd,CS_AppInit
CS1002,CS_EnableAllCSCmd,CS_ProcessCmd
CS1002,CS_EnableAllCSCmd,CS_AppInit
CS1002,CS_DisableAllCSCmd,CS_ProcessCmd
CS1002,CS_DisableAllCSCmd,CS_AppInit
CS1002,CS_EnableCfeCoreCmd,CS_ProcessCmd
CS1002,CS_EnableCfeCoreCmd,CS_AppInit
CS1002,CS_DisableCfeCoreCmd,CS_ProcessCmd
CS1002,CS_DisableCfeCoreCmd,CS_AppInit
CS1002,CS_ReportBaselineCfeCoreCmd,CS_ProcessCmd
CS1002,CS_ReportBaselineCfeCoreCmd,CS_AppInit
CS1002,CS_RecomputeBaselineCfeCoreCmd,CS_ProcessCmd
CS1002,CS_RecomputeBaselineCfeCoreCmd,CS_AppInit
CS1002,CS_EnableOSCmd,CS_ProcessCmd
CS1002,CS_EnableOSCmd,CS_AppInit
CS1002,CS_DisableOSCmd,CS_ProcessCmd
CS1002,CS_DisableOSCmd,CS_AppInit
CS1002,CS_ReportBaselineOSCmd,CS_ProcessCmd
CS1002,CS_ReportBaselineOSCmd,CS_AppInit
CS1002,CS_RecomputeBaselineOSCmd,CS_ProcessCmd
CS1002,CS_RecomputeBaselineOSCmd,CS_AppInit
CS1002,CS_EnableEepromCmd,CS_ProcessCmd
CS1002,CS_EnableEepromCmd,CS_AppInit
CS1002,CS_DisableEepromCmd,CS_ProcessCmd
CS1002,CS_DisableEepromCmd,CS_AppInit
CS1002,CS_ReportBaselineEntryIDEepromCmd,CS_ProcessCmd
CS1002,CS_ReportBaselineEntryIDEepromCmd,CS_AppInit
CS1002,CS_RecomputeBaselineEepromCmd,CS_ProcessCmd
CS1002,CS_RecomputeBaselineEepromCmd,CS_AppInit
CS1002,CS_EnableEntryIDEepromCmd,CS_ProcessCmd
CS1002,CS_EnableEntryIDEepromCmd,CS_AppInit
CS1002,CS_DisableEntryIDEepromCmd,CS_ProcessCmd
CS1002,CS_DisableEntryIDEepromCmd,CS_AppInit
CS1002,CS_GetEntryIDEepromCmd,CS_ProcessCmd
CS1002,CS_GetEntryIDEepromCmd,CS_AppInit
CS1002,CS_EnableMemoryCmd,CS_ProcessCmd
CS1002,CS_EnableMemoryCmd,CS_AppInit
CS1002,CS_DisableMemoryCmd,CS_ProcessCmd
CS1002,CS_DisableMemoryCmd,CS_AppInit
CS1002,CS_ReportBaselineEntryIDMemoryCmd,CS_ProcessCmd
CS1002,CS_ReportBaselineEntryIDMemoryCmd,CS_AppInit
CS1002,CS_RecomputeBaselineMemoryCmd,CS_ProcessCmd
CS1002,CS_RecomputeBaselineMemoryCmd,CS_AppInit
CS1002,CS_EnableEntryIDMemoryCmd,CS_ProcessCmd
CS1002,CS_EnableEntryIDMemoryCmd,CS_AppInit
CS1002,CS_DisableEntryIDMemoryCmd,CS_ProcessCmd
CS1002,CS_DisableEntryIDMemoryCmd,CS_AppInit
CS1002,CS_GetEntryIDMemoryCmd,CS_ProcessCmd
CS1002,CS_GetEntryIDMemoryCmd,CS_AppInit
CS1002,CS_EnableTablesCmd,CS_ProcessCmd
CS1002,CS_EnableTablesCmd,CS_AppInit
CS1002,CS_DisableTablesCmd,CS_ProcessCmd
CS1002,CS_DisableTablesCmd,CS_AppInit
CS1002,CS_ReportBaselineTableCmd,CS_ProcessCmd
CS1002,CS_ReportBaselineTableCmd,CS_AppInit
CS1002,CS_RecomputeBaselineTableCmd,CS_ProcessCmd
CS1002,CS_RecomputeBaselineTableCmd,CS_AppInit
CS1002,CS_EnableNameTableCmd,CS_ProcessCmd
CS1002,CS_EnableNameTableCmd,CS_AppInit
CS1002,CS_DisableNameTableCmd,CS_ProcessCmd
CS1002,CS_DisableNameTableCmd,CS_AppInit
CS1002,CS_EnableAppsCmd,CS_ProcessCmd
CS1002,CS_EnableAppsCmd,CS_AppInit
CS1002,CS_DisableAppsCmd,CS_ProcessCmd
CS1002,CS_DisableAppsCmd,CS_AppInit
